Instance,Best_Cost,Average_Cost,Std_Dev,Run_Count
i01,4760,4815.36,36.45,11
i02,2552,3836.45,959.59,11
i03,12424,12670.72,174.79,11
i04,4945,6242.18,873.13,11
i05,15834,18302.09,2503.36,11
i06,11684,13030.09,893.13,11
i07,11333,13587.36,1759.80,11
i08,40409,43628.36,1956.69,11
i09,14488,16997.18,2179.23,11
i10,29100,31569.09,1642.84,11
i11,32312,33881.27,1280.67,11
i12,26823,30119.54,1932.96,11
i13,35574,38444.36,1748.39,11
i14,32409,39542.45,4746.83,11
i15,23934,32386.81,8014.05,11
i16,32830,35649.27,2438.25,11
i17,129240,140273.18,7740.39,11
i18,47866,53039.00,5125.80,11
i19,94263,99436.81,3275.12,11
i20,52819,74530.27,17249.78,11
i21,70165,74358.27,2590.17,11
i22,485084,527964.54,28353.02,11
i23,98676,102036.18,2328.62,11
i24,92266,99323.09,4686.24,11
i25,30953,32225.45,822.28,11
i26,382024,435563.00,33050.76,11
i27,289239,325851.36,19831.21,11
i28,124298,126902.45,2314.91,11
i29,56909,60604.63,2875.25,11
i30,133001,136967.63,2706.24,11
