Instance,Best_Cost,Average_Cost,Std_Dev,Run_Count
i01,4713,4805.72,61.94,11
i02,1969,3149.00,1327.82,11
i03,12244,12739.36,355.93,11
i04,4698,5444.54,566.44,11
i05,15578,17226.90,1875.54,11
i06,11631,13218.18,1390.92,11
i07,8744,12543.09,2144.68,11
i08,24607,25943.00,1192.44,11
i09,11191,13788.54,1725.92,11
i10,27980,32437.27,2830.78,11
i11,31211,33807.72,2271.83,11
i12,23911,29639.90,3589.97,11
i13,31141,33058.00,1091.12,11
i14,16298,18079.00,1206.10,11
i15,19978,23597.27,2290.87,11
i16,20971,22040.81,479.50,11
i17,75050,77745.90,2306.67,11
i18,47585,48558.81,727.57,11
i19,91047,93146.63,1333.70,11
i20,43249,55836.81,5276.66,11
i21,44140,47773.45,2169.05,11
i22,180018,216645.90,19608.84,11
i23,91834,94174.54,1155.52,11
i24,56929,60762.72,1849.65,11
i25,23071,23908.09,488.31,11
i26,234546,295757.81,41177.97,11
i27,152635,230766.18,39692.47,11
i28,102817,104272.72,895.75,11
i29,33442,35552.36,1315.10,11
i30,111735,113512.81,1770.82,11
